sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified
Non-Profit,Employee Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,LSB Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Inclusion Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Branch Development Officer,10,Development Officer,11648,Development Officer,12895
Non-Profit,Sourcing Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Registration Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Fundraising Development Officer,29,Development Officer,11648,Development Officer,12895
Non-Profit,Procurement Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Fashion Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Hockey Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,New Partnerships Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Village Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Dairy Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Northwest Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Club Development Officer,12,Development Officer,11648,Development Officer,12895
Non-Profit,Conservation Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,New Technologies Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Northern Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Ulster,1,Development Officer,11648,Development Officer,12895
Non-Profit,Football Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Expansion Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Sponsorship Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Livelihood Development Officer,8,Development Officer,11648,Development Officer,12895
